,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
148,vila velha,75,BR,2020-03-21 17:53:08,88,-20.33,-40.29,80.01,12.75
149,borinskoye,75,RU,2020-03-21 17:53:08,95,52.46,39.37,32.0,8.95
150,kamaishi,40,JP,2020-03-21 17:53:08,83,39.27,141.88,40.24,5.39
151,cayenne,75,GF,2020-03-21 17:53:08,58,4.93,-52.33,87.8,13.87
152,aripuana,100,BR,2020-03-21 17:53:08,98,-9.17,-60.63,75.34,1.28
153,tuktoyaktuk,75,CA,2020-03-21 17:53:09,85,69.45,-133.04,19.4,17.22
154,asau,90,RO,2020-03-21 17:53:09,81,46.43,26.4,43.0,19.46
155,kahului,23,US,2020-03-21 17:53:09,81,20.89,-156.47,73.0,5.82
156,sorong,100,ID,2020-03-21 17:53:09,99,-0.88,131.25,73.9,1.12
157,norman wells,75,CA,2020-03-21 17:53:09,55,65.28,-126.83,35.6,9.17
158,pisco,20,PE,2020-03-21 17:53:09,30,-13.7,-76.22,81.0,14.99
159,san sebastian el grande,40,MX,2020-03-21 17:53:09,39,20.52,-103.42,82.99,4.7
160,biltine,75,TD,2020-03-21 17:53:09,10,14.53,20.92,84.88,9.04
161,werda,55,BW,2020-03-21 17:53:10,45,-25.27,23.28,73.36,5.32
162,cherskiy,0,RU,2020-03-21 17:53:10,76,68.75,161.3,-8.36,11.9
163,andenes,100,NO,2020-03-21 17:53:10,86,69.31,16.12,35.6,26.4
164,katsuura,67,JP,2020-03-21 17:53:10,66,35.13,140.3,55.4,6.93
165,ribeira grande,20,PT,2020-03-21 17:53:10,54,38.52,-28.7,59.0,14.99
166,kizema,94,RU,2020-03-21 17:53:10,85,61.11,44.83,18.46,4.92
167,bonfim,64,BR,2020-03-21 17:53:10,35,3.08,-59.95,94.96,10.89
168,tuatapere,95,NZ,2020-03-21 17:53:10,90,-46.13,167.68,53.01,13.0
169,yulara,0,AU,2020-03-21 17:53:10,23,-25.24,130.99,84.2,16.11
170,victoria,20,HK,2020-03-21 17:50:36,88,22.29,114.16,73.4,10.29
171,kita,20,ML,2020-03-21 17:53:10,9,13.03,-9.49,102.34,4.27
172,beloha,31,MG,2020-03-21 17:53:10,83,-25.17,45.05,74.08,12.55
173,lampa,40,CL,2020-03-21 17:53:11,63,-33.28,-70.9,71.01,11.41
174,xiongzhou,79,CN,2020-03-21 17:53:11,98,25.12,114.3,65.62,3.67
175,hambantota,41,LK,2020-03-21 17:53:11,74,6.12,81.12,81.1,10.56
176,pimentel,20,PE,2020-03-21 17:53:11,29,-6.84,-79.93,66.2,5.82
177,greenville,90,US,2020-03-21 17:49:15,93,35.61,-77.37,73.0,4.7
178,ponta do sol,40,PT,2020-03-21 17:53:11,48,32.67,-17.1,62.6,10.29
179,puri,44,IN,2020-03-21 17:53:11,83,19.8,85.85,75.2,10.33
180,vilhena,100,BR,2020-03-21 17:53:11,81,-12.74,-60.15,75.7,6.53
181,ankang,99,CN,2020-03-21 17:53:11,54,32.68,109.02,53.01,10.0
182,taoudenni,0,ML,2020-03-21 17:49:45,13,22.68,-3.98,84.7,7.47
183,iqaluit,40,CA,2020-03-21 17:53:11,69,63.75,-68.51,-9.0,31.09
184,cervo,56,ES,2020-03-21 17:53:12,1,43.67,-7.41,57.0,5.99
185,komsomolskiy,91,UZ,2020-03-21 17:53:12,71,40.43,71.72,53.6,2.24
186,saldanha,12,ZA,2020-03-21 17:53:12,60,-33.01,17.94,71.6,12.75
187,kavieng,87,PG,2020-03-21 17:53:12,68,-2.57,150.8,84.34,3.18
188,east london,20,ZA,2020-03-21 17:53:12,88,-33.02,27.91,66.2,2.24
189,djambala,100,CG,2020-03-21 17:53:12,95,-2.54,14.75,67.78,6.69
190,pacific grove,75,US,2020-03-21 17:52:16,81,36.62,-121.92,55.0,8.61
191,saurimo,89,AO,2020-03-21 17:53:12,80,-9.66,20.39,70.48,2.57
192,sydney,56,AU,2020-03-21 17:45:54,93,-33.87,151.21,66.99,3.89
193,agbor,91,NG,2020-03-21 17:53:12,80,6.25,6.19,81.46,5.32
194,bambous virieux,40,MU,2020-03-21 17:53:12,74,-20.34,57.76,78.8,8.05
195,port macquarie,84,AU,2020-03-21 17:53:12,88,-31.43,152.92,70.0,5.37
196,ginir,30,ET,2020-03-21 17:53:12,87,7.13,40.7,62.02,3.15
197,carbonia,20,IT,2020-03-21 17:53:12,77,39.17,8.52,59.0,2.24
198,puerto escondido,5,MX,2020-03-21 17:53:12,69,15.85,-97.07,82.4,9.17
199,boditi,100,ET,2020-03-21 17:53:12,86,6.97,37.87,63.82,6.08
200,ostrovnoy,71,RU,2020-03-21 17:53:13,90,68.05,39.51,15.76,19.04
201,wuwei,18,CN,2020-03-21 17:53:13,35,37.93,102.64,44.38,2.53
202,sichevita,39,RO,2020-03-21 17:53:13,48,44.73,21.85,60.8,14.99
203,rock hill,1,US,2020-03-21 17:53:13,41,34.92,-81.03,79.0,2.24
204,miyako,40,JP,2020-03-21 17:53:13,83,39.64,141.95,40.24,5.39
205,necochea,0,AR,2020-03-21 17:53:13,35,-38.55,-58.74,93.0,8.01
206,port lincoln,86,AU,2020-03-21 17:53:13,84,-34.73,135.87,60.76,8.61
207,nevsehir,40,TR,2020-03-21 17:53:13,86,38.92,34.67,37.4,1.68
208,ilembo,20,TZ,2020-03-21 17:53:13,95,-9.25,33.38,63.28,2.01
209,novorzhev,60,RU,2020-03-21 17:53:13,54,57.03,29.33,27.1,9.31
210,new norfolk,90,AU,2020-03-21 17:53:13,93,-42.78,147.06,54.0,3.36
211,jezerski,59,BA,2020-03-21 17:53:14,68,44.98,16.08,50.0,5.99
212,richards bay,97,ZA,2020-03-21 17:53:14,86,-28.78,32.04,78.76,6.02
213,hay river,90,CA,2020-03-21 17:53:14,92,60.82,-115.8,30.2,24.16
214,mansa,26,IN,2020-03-21 17:53:14,57,29.98,75.38,65.44,6.96
215,santa fe,0,AR,2020-03-21 17:53:14,28,-31.63,-60.7,87.01,7.0
216,noumea,40,NC,2020-03-21 17:50:38,83,-22.28,166.46,69.8,2.24
217,saint anthony,1,US,2020-03-21 17:53:14,40,45.02,-93.22,35.01,5.82
218,carutapera,100,BR,2020-03-21 17:53:14,76,-1.2,-46.02,80.02,4.83
219,dudinka,40,RU,2020-03-21 17:53:14,84,69.41,86.18,-0.4,20.13
220,havre-saint-pierre,1,CA,2020-03-21 17:53:14,57,50.23,-63.6,21.2,20.8
221,chimoio,20,MZ,2020-03-21 17:53:14,83,-19.12,33.48,73.4,3.24
222,kiama,40,AU,2020-03-21 17:53:14,87,-34.68,150.87,66.99,6.44
223,mascote,100,BR,2020-03-21 17:53:14,80,-15.56,-39.3,80.2,1.25
224,prince rupert,90,CA,2020-03-21 17:53:14,68,54.32,-130.32,39.2,4.14
225,geraldton,40,AU,2020-03-21 17:53:14,88,-28.77,114.6,73.99,8.05
226,tara,100,RU,2020-03-21 17:53:15,98,56.89,74.37,29.98,5.88
227,faanui,27,PF,2020-03-21 17:53:15,75,-16.48,-151.75,83.08,10.56
228,sobolevo,100,RU,2020-03-21 17:53:15,63,54.43,31.9,31.24,11.68
229,okahandja,52,NA,2020-03-21 17:53:15,49,-21.98,16.92,73.4,6.93
230,novooleksiyivka,98,UA,2020-03-21 17:53:15,71,46.23,34.64,48.16,9.4
231,hasaki,50,JP,2020-03-21 17:53:15,93,35.73,140.83,42.8,3.36
232,roebourne,50,AU,2020-03-21 17:53:15,53,-20.78,117.13,86.86,13.2
233,grindavik,40,IS,2020-03-21 17:53:15,54,63.84,-22.43,32.0,27.51
234,san cosme y damian,0,PY,2020-03-21 17:53:15,42,-27.32,-56.35,84.2,4.7
235,tombouctou,59,ML,2020-03-21 17:53:15,9,20.0,-3.0,84.34,8.43
236,talavera,75,PH,2020-03-21 17:53:15,74,15.62,120.93,78.8,2.24
237,taybad,81,IR,2020-03-21 17:53:16,62,34.74,60.78,59.86,20.6
238,waddan,7,LY,2020-03-21 17:53:16,21,29.16,16.14,82.72,23.31
239,zhigansk,63,RU,2020-03-21 17:53:16,93,66.77,123.37,-13.94,10.69
240,plovdiv,0,BG,2020-03-21 17:50:06,51,42.15,24.75,62.6,6.93
241,salym,100,RU,2020-03-21 17:53:16,77,60.06,71.48,14.14,11.88
242,nelson bay,75,AU,2020-03-21 17:53:16,88,-32.72,152.15,71.01,4.7
243,malindi,50,KE,2020-03-21 17:53:16,77,-3.22,40.12,79.66,6.46
244,trairi,97,BR,2020-03-21 17:53:16,84,-3.28,-39.27,81.46,2.82
245,viseu,75,PT,2020-03-21 17:53:16,76,40.66,-7.91,60.01,5.82
